"vehicle_make_name","Frequency","sas_yr_of_crsh","sas_mnth_of_crsh"
"Cadillac","56","2015","Sep"
"Cadillac","51","2015","Oct"
"Cadillac","57","2015","Nov"
"Cadillac","70","2015","Dec"
"Cadillac","45","2016","Jan"
"Cadillac","63","2016","Feb"
"Cadillac","53","2016","Mar"
"Cadillac","61","2016","Apr"
"Cadillac","44","2016","May"
"Cadillac","49","2016","Jun"
"Cadillac","82","2016","Jul"
"Cadillac","55","2016","Aug"
"Cadillac","50","2016","Sep"
"Cadillac","65","2016","Oct"
"Cadillac","73","2016","Nov"
"Cadillac","66","2016","Dec"
"Chevrolet","879","2015","Jan"
"Chevrolet","647","2015","Feb"
"Chevrolet","931","2015","Mar"
"Chevrolet","842","2015","Apr"
"Chevrolet","983","2015","May"
"Chevrolet","879","2015","Jun"
"Chevrolet","1,095","2015","Jul"
"Chevrolet","1,026","2015","Aug"
"Chevrolet","859","2015","Sep"
"Chevrolet","952","2015","Oct"
"Chevrolet","906","2015","Nov"
"Chevrolet","1,061","2015","Dec"
"Chevrolet","759","2016","Jan"
"Chevrolet","841","2016","Feb"
"Chevrolet","883","2016","Mar"
"Chevrolet","866","2016","Apr"
"Chevrolet","1,010","2016","May"
"Chevrolet","1,052","2016","Jun"
"Chevrolet","1,091","2016","Jul"
"Chevrolet","1,028","2016","Aug"
"Chevrolet","934","2016","Sep"
"Chevrolet","989","2016","Oct"
"Chevrolet","942","2016","Nov"
"Chevrolet","962","2016","Dec"
"Chrysler","83","2015","Jan"
"Chrysler","95","2015","Feb"
"Chrysler","116","2015","Mar"
"Chrysler","129","2015","Apr"
"Chrysler","141","2015","May"
"Chrysler","115","2015","Jun"
"Chrysler","155","2015","Jul"
"Chrysler","153","2015","Aug"
"Chrysler","148","2015","Sep"
"Chrysler","129","2015","Oct"
"Chrysler","119","2015","Nov"
"Chrysler","144","2015","Dec"
"Chrysler","94","2016","Jan"
"Chrysler","108","2016","Feb"
"Chrysler","144","2016","Mar"
"Chrysler","135","2016","Apr"
"Chrysler","139","2016","May"
"Chrysler","153","2016","Jun"
"Chrysler","150","2016","Jul"
"Chrysler","116","2016","Aug"
"Chrysler","154","2016","Sep"
"Chrysler","161","2016","Oct"
"Chrysler","137","2016","Nov"
"Chrysler","168","2016","Dec"
"Daewoo","2","2015","Feb"
"Daewoo","1","2015","Mar"
"Daewoo","1","2015","Apr"
"Daewoo","2","2015","May"
"Daewoo","1","2015","Oct"
"Daewoo","1","2016","Mar"
"Daewoo","3","2016","Jun"
"Daewoo","1","2016","Aug"
"Daewoo","1","2016","Dec"
"Daihatsu","1","2016","Oct"
"Datsun/Nissan","269","2015","Jan"
"Datsun/Nissan","228","2015","Feb"
"Datsun/Nissan","247","2015","Mar"
"Datsun/Nissan","289","2015","Apr"
"Datsun/Nissan","277","2015","May"
"Datsun/Nissan","281","2015","Jun"
"Datsun/Nissan","351","2015","Jul"
"Datsun/Nissan","307","2015","Aug"
"Datsun/Nissan","304","2015","Sep"
"Datsun/Nissan","349","2015","Oct"
"Datsun/Nissan","351","2015","Nov"
"Datsun/Nissan","359","2015","Dec"
"Datsun/Nissan","251","2016","Jan"
"Datsun/Nissan","287","2016","Feb"
"Datsun/Nissan","264","2016","Mar"
"Datsun/Nissan","289","2016","Apr"
"Datsun/Nissan","316","2016","May"
"Datsun/Nissan","335","2016","Jun"
"Datsun/Nissan","365","2016","Jul"
"Datsun/Nissan","349","2016","Aug"
"Datsun/Nissan","312","2016","Sep"
"Datsun/Nissan","361","2016","Oct"
"Datsun/Nissan","368","2016","Nov"
"Datsun/Nissan","339","2016","Dec"
"Dodge","342","2015","Jan"
"Dodge","323","2015","Feb"
"Dodge","383","2015","Mar"
"Dodge","366","2015","Apr"
"Dodge","465","2015","May"
"Dodge","423","2015","Jun"
"Dodge","499","2015","Jul"
"Dodge","479","2015","Aug"
"Dodge","418","2015","Sep"
"Dodge","446","2015","Oct"
"Dodge","499","2015","Nov"
"Dodge","423","2015","Dec"
"Dodge","349","2016","Jan"
"Dodge","345","2016","Feb"
"Dodge","396","2016","Mar"
"Dodge","336","2016","Apr"
"Dodge","487","2016","May"
"Dodge","487","2016","Jun"
"Dodge","480","2016","Jul"
"Dodge","455","2016","Aug"
"Dodge","478","2016","Sep"
"Dodge","479","2016","Oct"
"Dodge","441","2016","Nov"
"Dodge","483","2016","Dec"
"Ducati","1","2015","Jan"
"Ducati","2","2015","Feb"
"Ducati","2","2015","Mar"
"Ducati","3","2015","Apr"
"Ducati","6","2015","May"
"Ducati","2","2015","Jun"
"Ducati","8","2015","Jul"
"Ducati","6","2015","Aug"
"Ducati","4","2015","Sep"
"Ducati","12","2015","Oct"
"Ducati","5","2015","Nov"
"Ducati","2","2015","Dec"
"Ducati","1","2016","Jan"
"Ducati","3","2016","Feb"
"Ducati","1","2016","Mar"
"Ducati","6","2016","Apr"
"Ducati","8","2016","May"
"Ducati","4","2016","Jun"
"Ducati","8","2016","Jul"
"Ducati","4","2016","Aug"
"Ducati","4","2016","Sep"
"Ducati","4","2016","Oct"
"Ducati","1","2016","Nov"
"Eagle","3","2015","Jul"
"Eagle","1","2016","Jan"
"Eagle","2","2016","Apr"
"Eagle","2","2016","Jun"
"Eagle","1","2016","Oct"
"Eagle","1","2016","Nov"
"Fiat","1","2015","Jan"
"Fiat","1","2015","Feb"
"Fiat","2","2015","Mar"
"Fiat","1","2015","Jun"
"Fiat","1","2015","Jul"
"Fiat","1","2015","Aug"
"Fiat","2","2015","Sep"
"Fiat","3","2015","Oct"
"Fiat","1","2015","Nov"
"Fiat","1","2015","Dec"
"Fiat","1","2016","Jan"
"Fiat","1","2016","Feb"
"Fiat","1","2016","Mar"
"Fiat","7","2016","Apr"
"Fiat","1","2016","May"
"Fiat","5","2016","Jun"
"Fiat","3","2016","Aug"
"Fiat","3","2016","Sep"
"Fiat","1","2016","Nov"
"Fiat","1","2016","Dec"
"Ford","841","2015","Jan"
"Ford","761","2015","Feb"
"Ford","910","2015","Mar"
"Ford","845","2015","Apr"
"Ford","963","2015","May"
"Ford","993","2015","Jun"
"Ford","1,003","2015","Jul"
"Ford","1,038","2015","Aug"
"Ford","997","2015","Sep"
"Ford","1,017","2015","Oct"
"Ford","1,036","2015","Nov"
"Ford","1,025","2015","Dec"
"Ford","770","2016","Jan"
"Ford","841","2016","Feb"
"Ford","894","2016","Mar"
"Ford","923","2016","Apr"
"Ford","941","2016","May"
"Ford","1,070","2016","Jun"
"Ford","1,069","2016","Jul"
"Ford","1,053","2016","Aug"
"Ford","1,068","2016","Sep"
"Ford","1,099","2016","Oct"
"Ford","996","2016","Nov"
"Ford","987","2016","Dec"
"Freightliner","100","2015","Jan"
"Freightliner","112","2015","Feb"
"Freightliner","137","2015","Mar"
"Freightliner","120","2015","Apr"
"Freightliner","110","2015","May"
"Freightliner","119","2015","Jun"
"Freightliner","103","2015","Jul"
"Freightliner","111","2015","Aug"
"Freightliner","103","2015","Sep"
"Freightliner","140","2015","Oct"
"Freightliner","114","2015","Nov"
"Freightliner","126","2015","Dec"
"Freightliner","98","2016","Jan"
"Freightliner","109","2016","Feb"
"Freightliner","98","2016","Mar"
"Freightliner","124","2016","Apr"
"Freightliner","130","2016","May"
"Freightliner","130","2016","Jun"
"Freightliner","126","2016","Jul"
"Freightliner","141","2016","Aug"
"Freightliner","174","2016","Sep"
"Freightliner","124","2016","Oct"
